Hà Nội,Chi nhánh Hà Nội,"Tầng 2, tòa nhà ACCI, số 210 Lê Trọng Tấn, phường Khương Mai, quận Thanh Xuân, Thành phố Hà Nội",Bà Nguyễn Thị Thúy,Giám đốc CN Hà Nội,0988 962 964,cn.hanoi@viettinvaluation.com,21.05977381,105.8225476
Quãng Ngãi,Chi nhánh Quãng Ngãi,"279 đường Trần Quang Khải, tổ 8, phường Chánh Lộ, thành phố Quảng Ngãi, tỉnh Quảng Ngãi",Bà Lê Ngọc Hoài Vân,Giám đốc CN Quãng Ngãi,0915 015 769,cn.quangngai@viettinvaluation.com,15.17809612,108.8156177
Vĩnh Long,Chi nhánh Vĩnh Long,"Lầu 1, 80 Phó Cơ Điều, Khóm 4, Phường 3, Thành phố Vĩnh Long",Ông Dương Trường Lâm,Giám đốc chi nhánh Vĩnh Long,0902 722 114,cn.vinhlong@viettinvaluation.com,10.23149105,105.8775971
Trà Vinh,Chi nhánh Trà Vinh,"Số 116 Kiên Thị Nhẫn, Khóm 2, Phường 3,thành phố Trà Vinh, tỉnh Trà Vinh",Ông Dương Trường Lâm,Giám đốc chi nhánh Trà Vinh,0902 722 114,cn.travinh@viettinvaluation.com,9.955936622,106.3318058
Long An,Chi nhánh Long An,"Số H-06, đường số 1, khu dân cư - khu Hành chính tỉnh, Phường 6, Thành phố Tân An, tỉnh Long An",Ông Nguyễn Minh Nhựt,Giám đốc chi nhánh Long An,0918 128 028,cn.longan@viettinvaluation.com,10.53781961,106.4034633
Đồng Tháp,Chi nhánh Đồng Tháp,"Số 30 Nguyễn Văn Tiệp, phường Phú Mỹ, thành phố Cao Lãnh, tỉnh Đồng Tháp",Ông Dương Trường Lâm,Giám đốc CN Đồng Tháp,0902 722 114,cn.dongthap@viettinvaluation.com,10.4601165,105.6332695
Tây Ninh,Văn phòng đại diện Tây Ninh,"Số 08, đường Hàm Nghi, Phường 3, Quận 2, thành phố Tây Ninh, tỉnh Tây Ninh",Ông Nguyễn Duy Nhân,"Giám đốc, Trường VP đại diện Tây Ninh",0908 068 011,vptayninh@viettinvaluation.com,11.33549581,106.1033477
Bảo Lộc,Văn phòng đại diện Bảo Lộc,"Số 1197 Trần Phú, phường Lộc Tiến, thành phố Bảo Lộc, tỉnh Lâm Đồng",Ông Nguyễn Công Lượng,Trưởng VP đại diện Bảo Lộc,0988 518 316,vpdaklak@viettinvaluation.com,11.57084789,107.829814
Bến Tre,Văn phòng đại diện Bến Tre,"Số 200K, đường số 1, Khu phố 3, phường Phú Tân, thành phố Bến Tre, tỉnh Bến Tre",Bà Nguyễn Trung Thảo Oanh,"Phó Giám đốc,Trưởng VP đại diện Bến Tre",0983 454 769,vpbentre@viettinvaluation.com,10.24370254,106.3962515
ĐắkLắk,Văn phòng đại diện ĐắkLắk,"203 Hùng Vương, phường Tự An, thành phố Buôn Ma Thuột, tỉnh Đắk Lắk",Ông Bùi Tịnh Tấn,Trưởng VP đại diện Đắk Lắk,0947 201 095,vpdaklak@viettinvaluation.com,12.65123258,108.047419
Huế,Văn phòng đại diện Huế,"Tầng 4, số 72 Hai Bà Trưng, phường Vĩnh Ninh, thành phố Huế, tỉnh Thừa Thiên Huế",Ông Lê Ngọc Minh, Trưởng VP đại diện Huế,0905 660 660,vphue@viettinvaluation.com,16.47278833,107.5719097
Đắk Nông,Văn phòng đại diện Đắk Nông,"23 Phường Nghĩa Tân, thành phố Gia Nghĩa, tỉnh Đắk Nông",Ông Bùi Tịnh Tấn,Trưởng VP đại diện Đắk Nông,0947 201 095,vpdaknong@viettinvaluation.com,12.00363142,107.6726721
Khánh Hòa,Văn phòng đại diện Khánh Hòa,"Số 7 Võ Trứ, phường Phước Tiến, thành phố Nha Trang, tỉnh Khánh Hòa",Bà Trần Thị Thiên Kim,Trưởng VP đại diện Khánh Hòa,0914 053 993,vpkhanhhoa@viettinvaluation.com,12.25352634,109.1027566
An Giang,Văn phòng đại diện An Giang,"4482 đường Tôn Thất Thuyết, phường Bình Khánh, thành phố Long Xuyên, tỉnh An Giang",Bà Lê Thị Minh Nguyệt,Trưởng VP đại diện An Giang,0918 275 767,vpangiang@viettinvaluation.com,10.47168372,105.1869754
Quãng Bình,Văn phòng đại diện Quãng Bình,"354 đường Quang Trung, phường Ba Đồn, thị xã Ba Đồn, tỉnh Quảng Bình",Ông Trịnh Song Hào,Trưởng VP đại diện Quảng Bình,0913 772 880,vpquangbinh@viettinvaluation.com,17.52552812,106.3885938
Vũng Tàu,Văn phòng đại diện Vũng Tàu,"81 Lưu Hữu Phước, phường Thống Nhất, thành phố Vũng Tàu",Ông Nguyễn Quốc Quyền,Trưởng VP đại diện Vũng Tàu,0938 885 557,vpdaklak@viettinvaluation.com,10.41008158,107.1319721
Bình Dương,Văn phòng đại diện Bình Dương,"Thửa đất số 18 - Lô A6, KDC Hiệp Thành III, Hoàng Hoa Thám, phường Hiệp Thành, thành phố Thủ Dầu Một,tỉnh Bình Dương",Ông Hoàng Xuân Nghĩa,Trưởng VP đại diện Bình Dương,0901 866 909,vpbinhduong@viettinvaluation.com,10.98673781,106.6546869
